transaction_amount,transaction_frequency,distance,account_age_days,transaction_recency,unusual_activity_flag,num_unique_devices,num_unique_locations,blacklist_whitelist_status,transaction_amount_deviation,credit_score,account_status,is_fraud,fraud_score
639.1923087389176,28,3.6151837219385863,3200,94,1,4,6,blacklist,26.53305125107569,383,inactive,0,0.7997711470704868
576.7101114360357,38,277.1904422914088,1271,113,1,6,7,blacklist,224.14568803434136,625,inactive,0,0.08510624973617953
801.9787251994253,21,142.86517029555367,540,273,0,2,7,blacklist,335.39554379413084,432,active,1,0.971147219219086
38.896766412893484,47,484.5389086648141,407,71,1,7,7,whitelist,387.6341338165934,665,active,1,0.21664587303069305
441.02393771917394,26,535.3722148719456,3526,53,0,9,9,blacklist,162.93991027931827,540,active,1,0.44040320101162733
523.2839309143637,3,636.4188311996083,250,54,0,2,3,whitelist,390.9383993027254,610,active,1,0.1539619754694258
754.6702566833086,3,679.166141416081,165,56,1,9,8,whitelist,135.43051204123302,670,inactive,0,0.11438241407579242
762.0415277008727,12,629.938045714048,506,229,1,8,6,blacklist,297.0551502028955,559,inactive,1,0.44777714262424595
452.5425043197653,43,341.4430844507075,3104,331,0,3,6,blacklist,160.39776382129034,515,inactive,1,0.6650730531415157
102.29816132718443,8,458.6303690901598,2695,198,0,3,7,whitelist,27.34734442334863,422,active,1,0.6115419489821392
812.0305911658138,25,184.7798120520182,2028,349,0,7,2,whitelist,437.6562679335953,698,inactive,1,0.09490181609118253
691.5621349299831,35,414.9910870977066,880,215,1,8,2,whitelist,279.0968305325111,612,inactive,1,0.5011830534217597
331.9286329440853,25,699.2378991381499,283,93,1,6,3,whitelist,208.60995181008752,499,active,0,0.8346173706352347
959.4482313896119,45,759.8355837325757,1564,169,0,5,2,whitelist,141.73249528528663,541,inactive,0,0.22790365177516092
819.110941934761,34,959.1551188597433,1033,340,1,1,8,blacklist,410.72360339842487,312,active,0,0.7317109754124691
80.1478737301,16,496.9659449498717,663,322,1,8,8,whitelist,284.7912308918079,408,active,1,0.9099488054463971
61.86301310283905,41,677.1475079338002,1967,270,0,1,1,blacklist,48.29132727330021,841,active,0,0.4934460080472528
68.61554265069424,19,869.5368338065971,1682,316,0,9,7,blacklist,403.33614917683997,620,active,0,0.6708263738316416
89.48995958799817,6,488.85936697767494,1080,109,1,5,8,blacklist,265.3693990720153,650,active,1,0.8439877126098846
874.9122134879277,24,917.8189153215088,3627,292,0,8,9,whitelist,333.852186188986,464,active,1,0.6364301009406491
492.8437703882879,17,505.971720093918,72,83,0,1,6,blacklist,234.29392753568402,338,inactive,0,0.4967637989624617
195.87622973781757,49,862.0219675094104,2355,322,1,5,5,whitelist,162.2739418287701,370,active,0,0.8967805338069719
929.5637546849874,45,416.73412316014037,979,167,1,8,9,whitelist,70.90820263333775,393,active,0,0.5566224048598984
760.926602654616,7,539.7012689258697,277,84,1,8,6,whitelist,2.1750662865603343,629,inactive,0,0.17076355598853676
868.4591256395195,4,219.92227349228,514,83,1,7,4,whitelist,326.2713439592911,321,inactive,0,0.5396957698551106
455.8628105817743,26,190.08821214386973,1928,343,0,3,6,whitelist,480.66778353974325,636,inactive,1,0.03637185481072713
472.9490449047554,10,180.25277873719403,2478,74,0,5,4,blacklist,438.21274815157216,707,active,1,0.1791735917553804
910.6783828870397,40,866.6347108126713,1862,69,0,3,2,whitelist,5.212016697641985,529,inactive,1,0.28560202393793
28.296517808611995,27,212.86183948178171,144,97,1,9,1,whitelist,122.0491751910518,600,active,0,0.8532033309538567
325.5986942474336,27,304.84264579457465,857,111,1,1,1,whitelist,137.2587956557208,550,active,1,0.9543540949148254
658.0311062019473,26,116.45741890447158,899,123,1,5,1,blacklist,404.20581851844145,789,inactive,0,0.4413272204284493
346.39676981052617,34,393.6012267346938,859,169,1,5,2,blacklist,312.6106624073714,752,inactive,0,0.4106713443706197
332.5309128709112,37,879.0526676987001,3457,291,0,2,8,blacklist,250.3727463793786,590,active,0,0.6510939969858034
270.81179664722043,23,64.37986559154463,2624,152,1,2,1,whitelist,238.14884966694265,585,active,0,0.8223192266316441
276.69037886845143,45,895.1959882934625,1574,90,1,1,5,blacklist,363.2411054225523,326,active,1,0.25608504094015716
785.4966568955899,49,796.6899271430574,606,284,0,2,9,whitelist,132.6630552386272,491,inactive,0,0.5138905383721203
904.6697530864916,32,64.16770749772537,2657,239,0,3,2,whitelist,289.45911724358547,682,active,0,0.7269318334733292
421.7502019948272,6,709.2396620701858,1891,230,1,9,6,blacklist,14.37569203525657,670,active,1,0.2988135412679047
282.8768794487677,37,720.60898384709,828,297,0,6,4,blacklist,138.0518511022552,410,active,0,0.6986582223959965
588.0407585649692,40,439.6354671856669,3189,91,0,1,8,whitelist,188.10732915980122,349,inactive,0,0.6237961222881132
671.9984354350372,44,324.0736687814507,1192,221,1,9,2,blacklist,435.21075416196936,819,active,0,0.12015071918124609
713.2389826576485,27,941.5868277231867,1126,49,0,9,1,whitelist,440.6999746466332,458,active,0,0.2202781047404755
658.3652963359908,33,901.6555117485603,3370,322,0,1,7,blacklist,285.18755090310185,382,inactive,1,0.6639255635845971
417.3340763905253,25,911.5261058051327,2114,246,1,3,1,whitelist,323.3404311430397,654,inactive,0,0.7340876927900093
885.3024005041837,7,461.05336545115284,1070,259,1,1,8,blacklist,276.88958965051035,538,active,0,0.9897504633373966
740.8115676310625,11,741.8899488617113,2062,216,0,4,5,blacklist,59.00108493590783,462,active,1,0.009447671536349733
151.05852389438977,2,645.1944676401674,2879,143,1,3,8,blacklist,228.0363457435521,336,active,1,0.026570316936287086
825.3907677200727,27,92.91610641497994,3526,139,0,8,3,blacklist,83.42122487099913,795,active,1,0.5959545993321375
256.6078472141696,46,919.3355102550674,2891,333,0,6,7,blacklist,147.9259880276979,396,active,0,0.9897183302199676
749.3310469414785,14,500.9231421589244,2315,94,1,5,5,blacklist,55.669666845655385,331,active,0,0.1919005431217241
385.7489824537261,7,418.5079024516065,3340,98,0,4,1,blacklist,204.84013607765127,703,active,1,0.9784761845892859
800.7201586765931,43,721.2147527582467,1696,107,0,3,7,whitelist,488.38758601075097,450,active,1,0.8777048917871447
454.82121887734894,8,699.3116674865772,1556,110,0,9,2,blacklist,291.884179739648,340,active,0,0.14139372228830271
